_unit_id,_created_at,_updated_at,gs,term,values,please_choose_one_of_the_reasons_below_gold,please_choose_one_of_the_reasons_below_gold_reason,which_category_does_this_term_belong_to_gold,which_category_does_this_term_belong_to_gold_reason
1229988207,5/3/2017 13:02:00,5/4/2017 11:39:25, time,sample time after surgery  ,5 days,,,,
1229988208,5/3/2017 13:02:00,5/4/2017 11:41:29, time,mnase digestion time  ,"5 min, 25 min",,,,
1229988209,5/3/2017 13:02:00,5/4/2017 11:37:30, treatment,h2o2 treatment  ,5 mm,,,,
1229988210,5/3/2017 13:02:00,5/4/2017 11:29:49, treatment,treatment dose  ,"5 ng/ml, 10 _ｵm, 10 u/ml, 3 um, 5 _ｵm",,,,
1229988211,5/3/2017 13:02:00,5/4/2017 11:44:36, age,mutant age ,"5 week-old tissue48 hpi with pst dc3000(avrrpt2) leaves, 5 week-old tissueuninoculated leaves",,,,
1229988212,5/3/2017 13:02:00,5/4/2017 11:32:19, age,wild-type (col-0) age ,"5 week-old tissueuninoculated leaves, 5 week-old tissue48 hpi with pst dc3000(avrrpt2) leaves",,,,
1229988213,5/3/2017 13:02:00,5/4/2017 11:41:00, age,in a diurnal environment. age ,5 weeks old,,,,
1229988214,5/3/2017 13:02:00,5/4/2017 11:33:02, age,age (month) ,"5, 10, 3, 17, 2",,,,
1229988215,5/3/2017 13:02:00,5/4/2017 11:30:49, treatment,treatment batch  ,"5, 2, 1, 3, 4",,,,
1229988216,5/3/2017 13:02:00,5/4/2017 12:03:29, age,age at diagonosis (years) ,"5.2, 5.6, 15.7, 5.3, 6.4",,,,
1229988217,5/3/2017 13:02:00,5/4/2017 11:22:00, time,time.to.death (years)  ,"5.36, 3.93",,,,
1229988218,5/3/2017 13:02:00,5/4/2017 11:27:16, time,dmfs time  ,"5.58, 5.83, 4, na, 4.83",,,,
1229988219,5/3/2017 13:02:00,5/4/2017 11:27:01, treatment,treatment concentration  ,"500nm, 10 mm, 0.3mm h2o2, --",,,,
1229988220,5/3/2017 13:02:00,5/4/2017 11:43:42, age,median age ,"51, 33, 42, 30",,,,
1229988221,5/3/2017 13:02:00,5/4/2017 11:34:47, age,age on study ,"51, 33, 59, 38, 22",,,,
1229988222,5/3/2017 13:02:00,5/4/2017 11:40:54, age,age at surgery (yrs) ,"51, 75, 78, 39, 40",,,,
1229988223,5/3/2017 13:02:00,5/4/2017 11:39:37, age,donor age ,"52, 40, 53, 23, adult",,,,
1229988224,5/3/2017 13:02:00,5/4/2017 11:29:03, age,recipient age ,"52, 50, 48, 43, 30",,,,
1229988225,5/3/2017 13:02:00,5/4/2017 11:31:27, age,age at death ,"52, 87 years, 44, 57, 61",,,,
1229988226,5/3/2017 13:02:00,5/4/2017 11:46:57, age,age of patient ,"53, 45, 47 years, 34 years, 40 years",,,,
1229988227,5/3/2017 13:02:00,5/4/2017 11:53:29, age,age in 1986 ,"54, 17, 22, 15, 24",,,,
1229988228,5/3/2017 13:02:00,5/4/2017 12:03:29, age,age at 2nd diagnosis ,"54, 57, 49, 44, 42",,,,
1229988229,5/3/2017 13:02:00,5/4/2017 11:54:51, age,age(yrs.) ,"54, 76, 55, 81, 39",,,,
1229988230,5/3/2017 13:02:00,5/4/2017 11:36:34, treatment,co2 treatment  ,"540 ppm co2, 1020 ppm co2,",,,,
1229988231,5/3/2017 13:02:00,5/4/2017 11:48:50, age,gallus gallus  - age ,"55 week dev. stage (boyes et al. plant cell 2001), 55weekdev.stage (boyes et al",,,,
1229988232,5/3/2017 13:02:00,5/4/2017 11:38:46, age,age at excision (years) ,"55, 52, 69, 56, 64",,,,
1229988234,5/3/2017 13:02:00,5/4/2017 11:41:22, age,age(years) ,"55, 56, 58, na, 61",,,,
1229988235,5/3/2017 13:02:00,5/4/2017 11:59:07, strain,strains  ,"5500 yeast mutants, pcc 9802 and fgp-2, 200-800 zebrafish from ab*,ab2o2,ab2o2 golden and ab2o2 leo, bd11, bn, bd11, sprd-cu3",,,,
1229988236,5/3/2017 13:02:00,5/4/2017 11:42:11, age,age of human sera ,"56, 44, 54, 58, 63",,,,
1229988237,5/3/2017 13:02:00,5/4/2017 11:38:29, time,survival time  ,"56, 726, 173, 302, 71",,,,
1229988238,5/3/2017 13:02:00,5/4/2017 11:31:23, age,age at dx ,"57, 49, 61, 54, 73",,,,
1229988239,5/3/2017 13:02:00,5/4/2017 11:40:32, age,age (at diagnosis) ,"58, 61, 65, 46, 50",,,,
1229988240,5/3/2017 13:02:00,5/4/2017 11:39:21, age,mean age ,"58.5 years, 38.25yrs., 31.5 years old, 41.3, 29.68yrs",,,,
1229988241,5/3/2017 13:02:00,5/4/2017 11:35:53, age,ageatrecruitment ,"59, 73, 63, 70, 58",,,,
1229988242,5/3/2017 13:02:00,5/4/2017 11:41:22, time,bddm followup time (months)  ,"59.9917864, 60, 39.3264887, 38.8336756, 59.5975359",,,,
1229988243,5/3/2017 13:02:00,5/4/2017 11:40:25, time,differentiation time  ,"6 days, 4 weeks, 0 days, 2 days, day 3.5",,,,
1229988244,5/3/2017 13:02:00,5/4/2017 11:33:08, time,sulfur deprivation time  ,6 hours,,,,
1229988245,5/3/2017 13:02:00,5/4/2017 11:41:22, time,time post injection  ,"6 hours post infection, 10 days post infection",,,,
1229988246,5/3/2017 13:02:00,5/4/2017 11:54:51, treatment,period of salt treatment  ,"6 hours, 1 hour, 3 hours, 12 hours, 0 hour",,,,
1229988247,5/3/2017 13:02:00,5/4/2017 11:37:43, treatment,treatment exposure  ,"6 hours, 1 hours",,,,
1229988248,5/3/2017 13:02:00,5/4/2017 11:32:01, time,sacrifice time  ,"6 hours, 1344, 1300, 1326, 1629",,,,
1229988249,5/3/2017 13:02:00,5/4/2017 11:33:49, time,growth time  ,"6 hours, 2 hours, 16 hour culture, three days, 4hr",,,,
1229988250,5/3/2017 13:02:00,5/4/2017 11:31:49, time,time point [c]  ,"6 hours, 2 hours, 24 hours, 12 hours, 0 hours",,,,
1229988251,5/3/2017 13:02:00,5/4/2017 11:26:10, time,time of progression  ,"6 wks, 7 wks, 9 wks, 13 wks, 12 wks",,,,
1229988252,5/3/2017 13:02:00,5/4/2017 11:40:55, time,time(wpi)  ,"6 wpi, 2 wpi, 4 wpi, 8 wpi, 10 wpi",,,,
1229988253,5/3/2017 13:02:00,5/4/2017 13:25:13, age,age at start of treatment ,"6-8 d, 2 d",,,,
1229988254,5/3/2017 13:02:00,5/4/2017 11:35:48, treatment,age at start of treatment  ,"6-8 d, 2 d",,,,
1229988255,5/3/2017 13:02:00,5/4/2017 11:34:58, age,age of plant ,6-leaf-old,,,,
1229988256,5/3/2017 13:02:00,5/4/2017 11:39:35, time,time after induction[days]  ,"6, 0, 9, 12, 3",,,,
1229988257,5/3/2017 13:02:00,5/4/2017 11:31:31, time,time-to-progession (months)  ,"6, 11, 8, 3, 10",,,,
1229988258,5/3/2017 13:02:00,5/4/2017 11:37:05, time,time (hr)  ,"6, 48, 0, 30, 24",,,,
1229988259,5/3/2017 13:02:00,5/4/2017 11:37:58, tissue,tissue ph ,"6.46, 6.43, 6.28, 6.38, 6.06",,,,
1229988260,5/3/2017 13:02:00,5/4/2017 11:29:35, time,brain ph at time of freezing  ,"6.6, 6.76, 6.3, 6.93, 6.59",,,,
1229988261,5/3/2017 13:02:00,5/4/2017 11:35:58, age,agedecade ,"60-69, n/a, 70-79, 68, 78",,,,
1229988262,5/3/2017 13:02:00,5/4/2017 11:27:09, age,age at death (in years) ,"60, 53, 57, 62, 55",,,,
1229988263,5/3/2017 13:02:00,5/4/2017 11:58:56, age,age (yr-old) ,"60, 65, 74, 58, 67",,,,
1229988264,5/3/2017 13:02:00,5/4/2017 11:19:57, age,age of blood draw ,"60, 66, 71, 63, 75",,,,
1229988265,5/3/2017 13:02:00,5/4/2017 11:29:44, age,age at time of resection ,"60y 5m, 34y 2m, 59y 7m, 31y 3m, 57y 11m",,,,
1229988266,5/3/2017 13:02:00,5/4/2017 11:41:14, time,age at time of resection  ,"60y 5m, 34y 2m, 59y 7m, 73y 4m, 31y 3m",,,,
1229988267,5/3/2017 13:02:00,5/4/2017 12:10:12, age,patient age ,"61, 60, 57, 37, 54",,,,
1229988268,5/3/2017 13:02:00,5/4/2017 11:58:29, age,age at op ,"61, 64, 63, 65, 67",,,,
1229988269,5/3/2017 13:02:00,5/4/2017 11:21:16, age,age(yrs) ,"62, 26.6, 30, 64, 72",,,,
1229988270,5/3/2017 13:02:00,5/4/2017 11:21:04, age,age quit smoking ,"62, 40, 65, 56, 68",,,,
1229988271,5/3/2017 13:02:00,5/4/2017 11:29:44, age,age@dx ,"62, 58, 44, 75, 65",,,,
1229988272,5/3/2017 13:02:00,5/4/2017 11:29:33, age,ageatdiagnosis ,"63, 67, 59, 12, 52",,,,
1229988273,5/3/2017 13:02:00,5/4/2017 11:21:19, age,age_diag ,"63, 78, 74, 66, 71",,,,
1229988274,5/3/2017 13:02:00,5/4/2017 11:48:55, age,ageofoperation ,"64, 54, 60, 27, 48",,,,
1229988275,5/3/2017 13:02:00,5/4/2017 11:37:49, age,age of diagnosis ,"65, 57, 49, 59, 46",,,,
1229988276,5/3/2017 13:02:00,5/4/2017 11:31:27, age,age [y] ,"65, 66, 61, 76, 70",,,,
1229988277,5/3/2017 13:02:00,5/4/2017 11:37:55, age,age (yrs) at dasatinib start ,"65, 66, 63, 59, 39",,,,
1229988278,5/3/2017 13:02:00,5/4/2017 11:44:36, age,age.at.surgery ,"65, 67, 69, 63, 70",,,,
1229988279,5/3/2017 13:02:00,5/4/2017 11:41:30, age,age at radiation ,"66, 57, 47, 65, 54",,,,
1229988280,5/3/2017 13:02:00,5/4/2017 11:36:21, age,age_at_diagnosis ,"66, 58, 62, 73, 64",,,,
1229988281,5/3/2017 13:02:00,5/4/2017 11:25:52, age,age at the time of surgery ,"67, 76, 71, 72, 63",,,,
1229988282,5/3/2017 13:02:00,5/4/2017 12:04:28, age,age at time of surgery ,"67, 76, 71, 72, 63",,,,
1229988283,5/3/2017 13:02:00,5/4/2017 11:37:49, time,age at time of surgery  ,"67, 76, 71, 72, 63",,,,
1229988284,5/3/2017 13:02:00,5/4/2017 11:41:29, age,age.year ,"67.5, 75.3, 74.5, 71.3",,,,
1229988285,5/3/2017 13:02:00,5/4/2017 11:38:01, age,ctl bone age ,"68 years  sexfemale, 72 years  sexfemale, 83 years  sexfemale, 71 years  sexmale",,,,
1229988286,5/3/2017 13:02:00,5/4/2017 11:36:42, age,age at onset ,"68 years, 60 years, 48 years, 71 years, 62 years",,,,
1229988287,5/3/2017 13:02:00,5/4/2017 11:38:46, age,age-at-examination ,"68, 47, 48, 54, 69",,,,
1229988288,5/3/2017 13:02:00,5/4/2017 11:33:49, age,age at primary diagnosis ,"68, 54, 49, 58, 72",,,,
1229988289,5/3/2017 13:02:00,5/4/2017 11:41:25, age,age at metastases ,"68, 61, 59, 76, 74",,,,
1229988290,5/3/2017 13:02:00,5/4/2017 11:35:47, age,age at diagnosis ,"68, 61, 71, 73, 51",,,,
1229988291,5/3/2017 13:02:00,5/4/2017 11:33:06, age,age (yrs) at rrp ,"68, 66, 67, 70, 71",,,,
1229988292,5/3/2017 13:02:00,5/4/2017 11:29:36, age,age_at_prostatectomy_(years) ,"68, 67, 64, 58, 59",,,,
1229988293,5/3/2017 13:02:00,5/4/2017 11:30:08, age,age at diagnosis (y) ,"68, 73, 64, 72, 82",,,,
1229988294,5/3/2017 13:02:00,5/4/2017 11:34:10, age,age_enroll ,"68.4, 59.9, 69.9, 65.4, 66.3",,,,
1229988295,5/3/2017 13:02:00,5/4/2017 11:54:57, time,culture doubling time  ,"69 hours, 4.6 hours",,,,
1229988296,5/3/2017 13:02:00,5/4/2017 11:41:01, cell line,cell line number  ,"69, 11, 64, 71, 12",,,,
1229988297,5/3/2017 13:02:00,5/4/2017 11:36:34, age,age (yrs) ,"69, 66, na, 67, 51, 50",,,,
1229988298,5/3/2017 13:02:00,5/4/2017 11:52:16, age,age (years at surgery) ,"69, 70, 56, 67, 59",,,,
1229988299,5/3/2017 13:02:00,5/4/2017 11:36:10, age,age (days) ,"69, 70, 56, 9, 74",,,,
1229988300,5/3/2017 13:02:00,5/4/2017 11:31:52, time,time submerged  ,"6d, 1d",,,,
1229988301,5/3/2017 13:02:00,5/4/2017 11:34:21, treatment,post-dac treatment  ,"6h etoh treatment, 6h e2 treatment",,,,
1229988302,5/3/2017 13:02:00,5/4/2017 11:29:49, treatment,treatment time  ,"6hr, 2hr, 0hr, 24h, 14 days",,,,
1229988303,5/3/2017 13:02:00,5/4/2017 11:37:55, time,treatment time  ,"6hr, 2hr, 0hr, 24h, 14 days",,,,
1229988304,5/3/2017 13:02:00,5/4/2017 11:42:45, time,time (doxorubicin)  ,"6hrs, 1hrs, 9hrs, 0hrs, 3hrs",,,,
1229988305,5/3/2017 13:02:00,5/4/2017 11:28:59, time,time in entraining conditions  ,7 d,,,,
1229988306,5/3/2017 13:02:00,5/4/2017 11:39:53, time,time of biopsy  ,"7 days after the putative luteinizing hormone surge, biopsy at baseline, 6 days after the putative luteinizing hormone surge, biopsy at 3 months after inclusion, 8 days after the putative luteinizing hormone surge",,,,
1229988307,5/3/2017 13:02:00,5/4/2017 11:25:46, time,time in culture  ,"7 days, 14 days, 48 hours, 6, 72",,,,
1229988308,5/3/2017 13:02:00,5/4/2017 11:31:27, time,time (incubation)  ,"7 hrs, control, 24 hrs",,,,
1229988309,5/3/2017 13:02:00,5/4/2017 11:43:11, treatment,time of tamoxifen treatment  ,"7 months of tamoxifen treatment in vivo, 8 months of tamoxifen treatment in vivo, from 7 to 8 months of tamoxifen treatment in vivo, 9 months of tamoxifen treatment in vivo, 10 months of tamoxifen treatment in vivo",,,,
1229988310,5/3/2017 13:02:00,5/4/2017 11:43:12, time,time of tamoxifen treatment  ,"7 months of tamoxifen treatment in vivo, 8 months of tamoxifen treatment in vivo, from, 7 to 8 months of tamoxifen treatment in vivo, 9 months of tamoxifen treatment in vivo, 10 months of tamoxifen treatment in vivo",,,,
1229988311,5/3/2017 13:02:00,5/4/2017 11:32:32, age,age diet commenced ,7 weeks,,,,
1229988312,5/3/2017 13:02:00,5/4/2017 11:29:03, age,age high salt diet commenced ,7 weeks,,,,
1229988313,5/3/2017 13:02:00,5/4/2017 11:27:50, age,age put on diet ,7 weeks,,,,
1229988314,5/3/2017 13:02:00,5/4/2017 11:44:42, age,age at irradiation ,"7 weeks, 3 weeks, non-irradiated",,,,
1229988315,5/3/2017 13:02:00,5/4/2017 11:35:51, age,age at start ,"7 weeks, 9 weeks, 10 weeks",,,,
1229988316,5/3/2017 13:02:00,5/4/2017 12:02:25, treatment,day of dss treatment  ,"7, 0",,,,
1229988317,5/3/2017 13:02:00,5/4/2017 11:30:13, time,expression time hours  ,"7, 10",,,,
1229988318,5/3/2017 13:02:00,5/4/2017 11:41:13, time,time after lesion (days)  ,"7, 3, 21, 40, 0",,,,
1229988319,5/3/2017 13:02:00,5/4/2017 11:19:57, age,age (month) at surgery ,"7, 8, 6, 3, 23",,,,
1229988320,5/3/2017 13:02:00,5/4/2017 11:42:43, age,age induced (days) ,"7, 8, 9, 5",,,,
1229988321,5/3/2017 13:02:00,5/4/2017 11:35:54, time,metastasis time (month)  ,"7.121661721, 26.50840752, 11.53972964, 27.4975272, 1.153972964",,,,
1229988322,5/3/2017 13:02:00,5/4/2017 11:39:54, time,os time  ,"7.94, 2.86, 271, 1.18, 7.43",,,,
1229988323,5/3/2017 13:02:00,5/4/2017 11:29:16, age,agegroupatsampledraw ,"70 to 75, 55 to 60, 60 to 65, 65 to 70, over 75",,,,
1229988324,5/3/2017 13:02:00,5/4/2017 11:23:37, time,fu time  ,"70.08, 62.85, 6.54",,,,
1229988325,5/3/2017 13:02:00,5/4/2017 11:46:21, age,onset of age ,"71, 65, 64, 76, 60",,,,
1229988326,5/3/2017 13:02:00,5/4/2017 11:41:30, age,age at operation (yrs) ,"71.1, 70.5, 69.8, 56, 68.1",,,,
1229988327,5/3/2017 13:02:00,5/4/2017 11:23:11, genotype,backgroud genotype  ,717-1b4,,,,
1229988328,5/3/2017 13:02:00,5/4/2017 11:44:16, age,age seedlings ,"72 hag, 78 hag, 74 hag",,,,
1229988329,5/3/2017 13:02:00,5/4/2017 11:40:25, time,culture time (hrs)  ,"72, 12, 6, 192, 0",,,,
1229988330,5/3/2017 13:02:00,5/4/2017 11:28:32, time,time after transfection (hr)  ,"72, 48, 96, 24",,,,
1229988331,5/3/2017 13:02:00,5/4/2017 11:33:31, age,age at presentation ,"72, 50, 70, 69, 66",,,,
1229988332,5/3/2017 13:02:00,5/4/2017 11:37:45, age,baseline age (years) ,"72, 67, 57, 76, 50",,,,
1229988333,5/3/2017 13:02:00,5/4/2017 11:41:01, treatment,dac treatment  ,"72h no treatment, 72h 1__m dac treatment",,,,
1229988334,5/3/2017 13:02:01,5/4/2017 11:38:26, time,time since wetting  ,"73.9 hr, 35.5 hr, 11.5 hr, 9 hr, 22 hr",,,,
1229988335,5/3/2017 13:02:01,5/4/2017 11:49:05, age,age (years) ,"74, 62, 76, 83, 45",,,,
1229988336,5/3/2017 13:02:01,5/4/2017 11:43:22, age,age [years / days] ,76 / 197,,,,
1229988337,5/3/2017 13:02:01,5/4/2017 11:37:42, age,age at start therapy ,"76, 54, 64, 80, 51",,,,
1229988338,5/3/2017 13:02:01,5/4/2017 11:48:50, age,age (yr) ,"76, 74, 75, 28, 77",,,,
1229988339,5/3/2017 13:02:01,5/4/2017 11:31:29, time,time (post-inoculation)  ,"78 h, 174 h, 198 h, 6 h, 102 h",,,,
1229988340,5/3/2017 13:02:01,5/4/2017 11:31:32, age,op bone age ,"78 years  sexfemale, 74 years  sexfemale, 87 years  sexfemale",,,,
1229988341,5/3/2017 13:02:01,5/4/2017 11:41:00, age,subject age (years) ,"78, 68, 73, 48, 80",,,,
1229988342,5/3/2017 13:02:01,5/4/2017 11:31:32, age,age at death (years) ,"78, 70, 69, 88, 81",,,,
1229988343,5/3/2017 13:02:01,5/4/2017 11:33:04, age,age at enrollment (years) ,"79, 83, 73, 71, 77",,,,
1229988344,5/3/2017 13:02:01,5/4/2017 11:29:49, time,harvest time point  ,"7d post-surgery, 12, at the end of the 6 hour exposure period, 18 hours after the 6 hour exposure period on the 2nd day, at the end of the of the 2nd day 6 hour exposure period",,,,
1229988345,5/3/2017 13:02:01,5/4/2017 11:39:24, time,time post-surgery  ,"7d, 4d, 14d, 1d, 0h",,,,
1229988346,5/3/2017 13:02:01,5/4/2017 11:41:30, age,age at baseline ,"7m, 6.9m, 5m, 4m, 5.9m",,,,
1229988347,5/3/2017 13:02:01,5/4/2017 11:35:58, time,handling time  ,8 hours,,,,
1229988348,5/3/2017 13:02:01,5/4/2017 11:31:31, time,cross-linking time  ,"8 min, 12 min",,,,
1229988349,5/3/2017 13:02:01,5/4/2017 11:32:42, time,timesincemating  ,"8 weeks, 1 weeks",,,,
1229988350,5/3/2017 13:02:01,5/4/2017 12:03:29, time,time after surgery  ,"8 weeks, 2 weeks, 10 weeks",,,,
1229988351,5/3/2017 13:02:01,5/4/2017 11:36:05, age,age ,"8 weeks, approximately 14 days, 6 to 8 weeks, 6-8 weeks, adult",,,,
1229988352,5/3/2017 13:02:01,5/4/2017 11:31:52, age,age (y) ,"8 weeks, na, 48, 53, 49",,,,
1229988353,5/3/2017 13:02:01,5/4/2017 11:22:16, age,starting age ,8-week old,,,,
1229988354,5/3/2017 13:02:01,5/4/2017 11:40:04, age,patient age at diagnosis ,"8-yrs, 8, 2-yrs, 9, 9-yrs",,,,
1229988355,5/3/2017 13:02:01,5/4/2017 11:36:04, time,time (h) post-infection  ,"8, 1, 2, 4, 0",,,,
1229988356,5/3/2017 13:02:01,5/4/2017 11:37:55, age,age(weeks) ,"8, 32, 16, 72, 15",,,,
1229988357,5/3/2017 13:02:01,5/4/2017 11:27:17, age,age at infection (yrs) ,"8.1, 9.5, 6.1, 10.1, 12",,,,
1229988358,5/3/2017 13:02:01,5/4/2017 11:31:33, age,age (mos) ,"8.5, 10.5",,,,
1229988359,5/3/2017 13:02:01,5/4/2017 11:37:06, time,fermentation time point  ,"80hr, 60hr, 102hr, 8hr, 30hr",,,,
1229988360,5/3/2017 13:02:01,5/4/2017 11:40:59, age,age at collection (months) ,"87, 71, 140, 97, 161",,,,
1229988361,5/3/2017 13:02:01,5/4/2017 11:35:54, age,age at death (y) ,"89, 80, 81, 87, 76",,,,
1229988362,5/3/2017 13:02:01,5/4/2017 11:26:12, time,time [days of culture]  ,"9, 0",,,,
1229988363,5/3/2017 13:02:01,5/4/2017 11:38:19, time,event time (years)  ,"9.4, 9.483333333, 9.45, 14.43333333, 7.133333333",,,,
1229988364,5/3/2017 13:02:01,5/4/2017 11:37:35, time,post-treatment time  ,"90 hours, 1 week",,,,
1229988365,5/3/2017 13:02:01,5/4/2017 11:28:30, time,time after actd  ,"90 min, 45 min, 0 min",,,,
1229988366,5/3/2017 13:02:01,5/4/2017 11:38:01, time,time point after stress  ,"90 min, 7 min, 45 min",,,,
1229988367,5/3/2017 13:02:01,5/4/2017 11:38:09, time,seizure time  ,"917, 1021, 1123, 1106, 1104",,,,
1229988368,5/3/2017 13:02:01,5/4/2017 11:31:51, age,age at sacrafice ,92-114 weeks postinoculation,,,,
1229988369,5/3/2017 13:02:01,5/4/2017 11:35:19, time,time injected  ,"931, 1017, 1355, 954, 1050",,,,
1229988370,5/3/2017 13:02:01,5/4/2017 11:30:08, time,time aed  ,"96 hrs, 60 hrs, 72 hrs",,,,
1229988371,5/3/2017 13:02:01,5/4/2017 11:28:37, age,age(month) ,"96, 60, 48, 72, 13",,,,
1229988372,5/3/2017 13:02:01,5/4/2017 11:34:47, age,age at blood drawing (months) ,"96, 72, 36, 60, 84",,,,
1229988373,5/3/2017 13:02:01,5/4/2017 11:32:45, time,relapse free survival time  ,"96.82 month, 36.10 month, 36.36 month",,,,
1229988374,5/3/2017 13:02:01,5/4/2017 11:36:36, time,time (after crossing)  ,"96hr, 72hr, 24hr, 120hr, 144hr",,,,
1229988375,5/3/2017 13:02:01,5/4/2017 11:30:40, time,meiotic time point  ,"9h, 0h, 5h, 11h, 7h",,,,
1229988376,5/3/2017 13:02:01,5/4/2017 11:31:26, time,growth time points  ,"9h, 2h, start control, 7h",,,,
1229988377,5/3/2017 13:02:01,5/4/2017 11:35:40, genotype,genotype/varat  ,"垣asc1, wt",,,,
1229988378,5/3/2017 13:02:01,5/4/2017 11:35:51, treatment,treatment name  ,"a_euteiches_6dpi - inoculation - pathogen infection,ae 6dpi, a_euteiches_1dpi - time course study - pathogen infection,ae 1dpi, water_a_euteiches - with euteiches,inoculation - mock infiltration,ae 6d, water - inoculation - mock infiltration,mock_water",,,,
1229988379,5/3/2017 13:02:01,5/4/2017 11:39:44, strain,strain duplicate (a or b)  ,"a, b",,,,
1229988380,5/3/2017 13:02:01,5/4/2017 11:29:33, treatment,treatment_schedule  ,"a, b, c, untreated",,,,
1229988381,5/3/2017 13:02:01,5/4/2017 11:43:50, strain,infection (virus strain)  ,"a/california/07/2009 (h1n1), n/a, influenza a/h1n1 virus isolated from a patient with fatal, pneumonia during the first outbreak in mexico city in april 2009., influenza seasonal virus a/pr/8/34 strain",,,,
1229988382,5/3/2017 13:02:01,5/4/2017 11:25:46, strain,inbred strain  ,"a/j, b6by.c.132.54, c57bl/6byj, balb/cj",,,,
1229988383,5/3/2017 13:02:01,5/4/2017 11:28:14, cell line,es cell line  ,"a2lox, r1 esc, otx2-/- esc, ky1.1, e14 esc",,,,
1229988384,5/3/2017 13:02:01,5/4/2017 11:32:25, cell line,cell line background  ,"a549, beas-2b, cfpac1, pc3, imr90",,,,
1229988385,5/3/2017 13:02:01,5/4/2017 11:36:05, genotype,14q22 genotype rs11623717  ,"aa, ag, gg",,,,
1229988386,5/3/2017 13:02:01,5/4/2017 11:40:29, genotype,9q24 genotype rs10975552  ,"aa, ag, gg",,,,
1229988387,5/3/2017 13:02:01,5/4/2017 11:35:51, genotype,hemoglobin genotype  ,"aa, as, ac",,,,
1229988388,5/3/2017 13:02:01,5/4/2017 11:41:21, genotype,18q21 genotype rs7226855  ,"aa, gg",,,,
1229988389,5/3/2017 13:02:01,5/4/2017 11:38:09, disease,disease causing mutation  ,"aav-mediated insertional mutagenesis, h22y, heterozygous for d303n, t50m, a230t",,,,
1229988390,5/3/2017 13:02:01,5/4/2017 11:36:24, age,age of subjects ,"about 60 years, about 25 years",,,,
1229988391,5/3/2017 13:02:01,5/4/2017 11:39:22, treatment,post surgical treatment  ,"act, obs",,,,
1229988392,5/3/2017 13:02:01,5/4/2017 11:34:49, time,time graft  ,"acute, delayed, na",,,,
1229988393,5/3/2017 13:02:01,5/4/2017 11:36:11, treatment,hygromycin treatment  ,"added, added, then removed",,,,
1229988394,5/3/2017 13:02:01,5/4/2017 11:42:45, tissue,tissue diagnosis ,"adenocarcinoma, carcinoma large cell, carcinoma squamous cell, carcinoma non-small cell",,,,
1229988395,5/3/2017 13:02:01,5/4/2017 11:38:52, tissue,tissue derivation ,"adenoid cystic carinoma of the parotid gland, pancreatic tumor, tongue, breast cancer, hodgkin lymphoma",,,,
1229988396,5/3/2017 13:02:01,5/4/2017 11:29:03, time,postnatal time-point  ,adult,,,,
1229988397,5/3/2017 13:02:01,5/4/2017 11:45:29, age,age description ,"adult 8 weeks, immortal cells, embryonic day 0 (stem cell), embryonic day 14.5, embryonic day 11.5",,,,
1229988398,5/3/2017 13:02:01,5/4/2017 11:41:29, tissue,original tissue ,"adult dermal fidroblast, breast, peripheral blood",,,,
1229988399,5/3/2017 13:02:01,5/4/2017 11:35:19, age,age/gender ,"adult male, 77/m, 60/m, 54/f, 2-3 month old males",,,,
1229988400,5/3/2017 13:02:01,5/4/2017 11:46:56, cell type,pancreatic cell type  ,"adult pancreatic endocrine cells, adult pancreatic exocrine-duct cells",,,,
1229988401,5/3/2017 13:02:01,5/4/2017 11:33:01, tissue,fetal vs adult tissue ,"adult, fetal",,,,
1229988402,5/3/2017 13:02:01,5/4/2017 11:31:32, age,agegroup ,"adult, old, young, [53,58), [58,63]",,,,
1229988403,5/3/2017 13:02:01,5/4/2017 11:33:31, time,donation time  ,"after brain death, after cardiac death",,,,
1229988404,5/3/2017 13:02:01,5/4/2017 11:49:13, treatment,time of treatment  ,"after disease establishment, zt24, zt36, 6h, time of grafting",,,,
1229988405,5/3/2017 13:02:01,5/4/2017 11:35:16, time,time of treatment  ,"after disease establishment, zt24, zt36, 6h, time of grafting",,,,
1229988406,5/3/2017 13:02:01,5/4/2017 11:35:51, time,time of specimen collection  ,"after transplant, before transplant",,,,
1229988407,5/3/2017 13:02:01,5/4/2017 11:33:43, genotype,rs5995355 genotype  ,"ag, gg, aa",,,,
1229988408,5/3/2017 13:02:01,5/4/2017 11:33:29, genotype,12q13 genotype rs7136702  ,"ag, gg, aa, ",,,,
1229988409,5/3/2017 13:02:01,5/4/2017 11:31:47, cell type,cancer cell type  ,"aggressive, non-aggressive, metastatic, parental",,,,
1229988410,5/3/2017 13:02:01,5/4/2017 11:37:40, treatment,cactus host treatment  ,"agria, organpipe",,,,
1229988411,5/3/2017 13:02:01,5/4/2017 11:24:34, tissue,tissue provider ,"alberta-pacific, alberta, canada, agriculture and agri-food canada, prairie farm, rehabilitation administration (aafc-pfra), shelterbelt centre, indian head, sk, alberta- pacific forest industries inc., al-pac, grasslands, ab, l.a. quality products ltd., portage la prairie, mb",,,,
1229988412,5/3/2017 13:02:01,5/4/2017 11:38:30, genotype,individual genotype  ,"alcohol preferring (p), alcohol non-preferring (np)",,,,
1229988413,5/3/2017 13:02:01,5/4/2017 11:35:52, treatment,bioremediation treatment  ,alert (ex situ),,,,
